ÿFecha,ÿDescripci¢n,ÿD‚bito,ÿCr‚dito,ÿSaldo Real,ÿSaldo Disponible
,,,,,
27/05/2014,HOSPITAL CLINICA METROPOL/SAN JOSE/CR,"11,200.00",0,"574,391.96","574,391.96"
27/05/2014,HOSPITAL CLINICA METROPOL/SAN JOSE/CR,"71,172.00",0,"503,219.96","503,219.96"
27/05/2014,HOSPITAL CLINICA METROPOL/SAN JOSE/CR,"16,000.00",0,"487,219.96","487,219.96"
27/05/2014,RESTAURANTE TACO BELL/SAN JOSE/CR,"11,250.00",0,"475,969.96","475,969.96"
28/05/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"459,969.96","459,969.96"
28/05/2014,SEGUNDA QUINCENA MAYO 2014,0,"426,010.38","885,980.34","885,980.34"
28/05/2014,HOSPITAL CLINICA METROPOL/SAN JOSE/CR,"6,250.00",0,"879,730.34","879,730.34"
31/05/2014,PALI PARAISO/CARTAGO/CR,"2,000.00",0,"877,730.34","877,730.34"
31/05/2014,CAPITALIZACION CC,0,123.3,"877,853.64","877,853.64"
2/6/2014,YOGURBERRY/SAN JOSE/CR,"2,040.00",0,"875,813.64","875,813.64"
2/6/2014,CAJERO BANSOL/SAN JOSE/CR/CR,"16,000.00",0,"859,813.64","859,813.64"
2/6/2014,TFT Pago de Alquiler Pago Mayo,"190,000.00",0,"669,813.64","669,813.64"
2/6/2014,COM TFT Pago de Alquiler Pago Mayo,840,0,"668,973.64","668,973.64"
2/6/2014,PAGO-CLARO CR TELECOMUNICACIONES S.A,"24,698.00",0,"644,275.64","644,275.64"
2/6/2014,PAGO-TIGO,"16,615.29",0,"627,660.35","627,660.35"
2/6/2014,PAGO-TELE CABLE ECONOMICO TV.,"15,250.00",0,"612,410.35","612,410.35"
2/6/2014,REV PAGO-TELE CABLE ECONOMICO TV.,0,"15,250.00","627,660.35","627,660.35"
4/6/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"611,660.35","611,660.35"
7/6/2014,CINEPOLIS METROPOLI WEB/CARTAGO/CR,"8,000.00",0,"603,660.35","603,660.35"
7/6/2014,CAJERO SCOTIABANK/SAN JOSE/CR/CR,"45,000.00",0,"558,660.35","558,660.35"
7/6/2014,CAJERO SCOTIABANK/SAN JOSE/CR/CR,"8,000.00",0,"550,660.35","550,660.35"
7/6/2014,CINEPOLIS DULCERIA METROP/CARTAGO/CR,"8,300.00",0,"542,360.35","542,360.35"
9/6/2014,POPS AVENIDA CENTRAL/SAN JOSE/CR,"2,200.00",0,"540,160.35","540,160.35"
9/6/2014,FARMACIA CHAVARRIA SAN JO/SAN JOSE/CR,"2,290.00",0,"537,870.35","537,870.35"
9/6/2014,PAGO-CLARO CR TELECOMUNICACIONES S.A,"1,000.00",0,"536,870.35","536,870.35"
9/6/2014,PIZZA HUT REAL CARIARI/HEREDIA/CR,"3,190.00",0,"533,680.35","533,680.35"
11/6/2014,CAJERO ATM OFICINAS CENTRALES 77/SAN JOSE/CR,"5,000.00",0,"528,680.35","528,680.35"
11/6/2014,ATM OFICINAS CENTRALES 77/SAN JOSE/CR No. 208341780,"1,683.00",0,"526,997.35","526,997.35"
11/6/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"510,997.35","510,997.35"
13/06/2014,PRIMERA QUINCENA JUNIO 2014,0,"403,463.52","914,460.87","914,460.87"
16/06/2014,CAJERO SJO-AM/PM FRESES/SAN JOSE/CR,"10,000.00",0,"904,460.87","904,460.87"
16/06/2014,SJO-AM/PM FRESES/SAN JOSE/CR No. 721009647,"1,681.50",0,"902,779.37","902,779.37"
17/06/2014,PAGO-INST. COST. DE ACUEDUCTOS Y ALCANTARILLADOS,"21,405.00",0,"881,374.37","881,374.37"
17/06/2014,PAGO-COMPANIA NACIONAL DE FUERZA Y LUZ,"13,235.00",0,"868,139.37","868,139.37"
17/06/2014,PAGO-TELE CABLE ECONOMICO TV.,"15,250.00",0,"852,889.37","852,889.37"
17/06/2014,REV PAGO-TELE CABLE ECONOMICO TV.,0,"15,250.00","868,139.37","868,139.37"
17/06/2014,PAGO-TELE CABLE ECONOMICO TV.,"15,250.00",0,"852,889.37","852,889.37"
17/06/2014,REV PAGO-TELE CABLE ECONOMICO TV.,0,"15,250.00","868,139.37","868,139.37"
17/06/2014,PAGO-ICETELECOMUNICACIONES,"40,280.00",0,"827,859.37","827,859.37"
17/06/2014,PAGO-ICETELECOMUNICACIONES,"12,765.00",0,"815,094.37","815,094.37"
17/06/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"170,571.25",0,"644,523.12","644,523.12"
18/06/2014,CAFE DE LA TORRE ASOCIMA/SAN JOSE/CR,"3,500.00",0,"641,023.12","641,023.12"
18/06/2014,EKONO PLAZA DE LA CULTURA/SAN JOSE/CR,"6,275.00",0,"634,748.12","634,748.12"
18/06/2014,MCDONALD'S PLAZA DE LA CU/SAN JOSE/CR,"6,800.00",0,"627,948.12","627,948.12"
18/06/2014,CAJERO ASAMBLEA LEGISLATIVA/00001/CR,"16,000.00",0,"611,948.12","611,948.12"
18/06/2014,ASAMBLEA LEGISLATIVA/00001/CR No. 920310987,"1,678.50",0,"610,269.62","610,269.62"
20/06/2014,CAJERO BANCO NACIONAL/SAN JOSE/ 01/CR,"25,000.00",0,"585,269.62","585,269.62"
20/06/2014,CAJERO BANCO NACIONAL/SAN JOSE/ 01/CR,"5,000.00",0,"580,269.62","580,269.62"
20/06/2014,PALI EL ALTO/SAN JOSE/CR,"5,565.00",0,"574,704.62","574,704.62"
20/06/2014,YOGURBERRY/SAN JOSE/CR,"7,096.00",0,"567,608.62","567,608.62"
20/06/2014,CAJERO SJO-LOBBY CRONOS 1/SAN JOSE/CR,"16,000.00",0,"551,608.62","551,608.62"
20/06/2014,SJO-LOBBY CRONOS 1/SAN JOSE/CR No. 114007010,"1,668.00",0,"549,940.62","549,940.62"
23/06/2014,MEGA SUPER PARAISO CENTRO/CARTAGO/CR,"11,890.00",0,"538,050.62","538,050.62"
25/06/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"522,050.62","522,050.62"
25/06/2014,CAFE DE LA TORRE ASOCIMA/SAN JOSE/CR,"3,500.00",0,"518,550.62","518,550.62"
27/06/2014,SEGUNDA QUINCENA JUNIO 2014,0,"381,986.32","900,536.94","900,536.94"
28/06/2014,CLARO SAN JOSE/SAN JOSE/CR,"25,882.00",0,"874,654.94","874,654.94"
30/06/2014,MEGA SUPER PARAISO CENTRO/CARTAGO/CR,"2,480.00",0,"872,174.94","872,174.94"
30/06/2014,MAXIPALI PARAISO DI/CARTAGO/CR,"8,850.00",0,"863,324.94","863,324.94"
30/06/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"109,850.00",0,"753,474.94","753,474.94"
30/06/2014,TFT Pago de Alquiler Pago Junio,"190,000.00",0,"563,474.94","563,474.94"
30/06/2014,COM TFT Pago de Alquiler Pago Junio,824.25,0,"562,650.69","562,650.69"
30/06/2014,N/D: ND CC TRANSFERENCIA CITIBANK ONLINE,"20,000.00",0,"542,650.69","542,650.69"
30/06/2014,NO COBRADA 623958 09/04/2014 YOGURBERRY/SAN JOSE/CR,0,"2,712.00","545,362.69","545,362.69"
30/06/2014,CAPITALIZACION CC,0,108.05,"545,470.74","545,470.74"
2/7/2014,MUSMANNI EMBAJADA/SAN JOSE/CR,"4,820.00",0,"540,650.74","540,650.74"
2/7/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"524,650.74","524,650.74"
2/7/2014,LIB.UNIVERSAL/REVELADOS F/SAN JOSE/CR,"5,490.00",0,"519,160.74","519,160.74"
8/7/2014,CAJERO CITI CSC EL CAFETAL/BANCO CITIBANK CR/HEREDIA/CR,"16,000.00",0,"503,160.74","503,160.74"
8/7/2014,MCDONALD'S PLAZA DE LA CU/SAN JOSE/CR,"6,700.00",0,"496,460.74","496,460.74"
11/7/2014,PAGO SALARIO I Q JULIO 2014,0,"381,986.32","878,447.06","878,447.06"
12/7/2014,CAJERO SJO-AM/PM FRESES/SAN JOSE/CR,"20,000.00",0,"858,447.06","858,447.06"
12/7/2014,SJO-AM/PM FRESES/SAN JOSE/CR No. 315009903,"1,632.00",0,"856,815.06","856,815.06"
14/07/2014,CINEPOLIS METROPOLI WEB/CARTAGO/CR,"16,800.00",0,"840,015.06","840,015.06"
14/07/2014,RADIO SHACK CARTAGO/Cartago/CR,"18,352.58",0,"821,662.48","821,662.48"
14/07/2014,CAJERO SJO-AM/PM FRESES/SAN JOSE/CR,"16,000.00",0,"805,662.48","805,662.48"
14/07/2014,SJO-AM/PM FRESES/SAN JOSE/CR No. 521000686,"1,632.00",0,"804,030.48","804,030.48"
